,,before,sentence,after,final
2514,114,And loses her virginity to them.,And or they get married.,Meetings of all Muslims are held in the city's mosques.,none
2515,115,"[22][23]  Critics of the then Chief Minister, Farooq Abdullah, charged that Abdullah was losing control.","His visit to Pakistan administered Kashmir during then became an embarrassment, where according to Hashim Qureshi, he shared a platform with JKLF .","Though Abdullah asserted that he went on behalf of Indira Gandhi and his father, so that sentiments there could ""be known first hand"", few people believed him.",none
2516,116,"Now, many people of the Muslim community gathered and threatened to withdraw the case under pressure by threatening the victim's family in the police station in Quarry itself.",* * Sanju Bajaj District President Manoj Ji Mahanagar President of Hindu Jagran Manch on receiving information from BJP Exporter Bhai Ramendra Ji Young Amar Kumar General Minister Shivkumar Minister Tarun Ji District Minister Sunny ji reached Vicky Quarsi along with Vicky Varshney team and former BJP Mayor Shakuntala Bharti Ji Yuva Morcha president Nikhil ji and other activists also arrived.,"The people of the jihadis were thrown by the national defenders and caught a boy whose hand was tied Kalwa, on asking, the name was called Aneesh, after massaging it on the rod, holding his ear, leaving it after apologizing and throwing it away.",none
2517,117,"According to them, this army will stop the incidents of lynchings happening on Muslims.","* * While the objective of this army is to help them in * Gajwa-e-Hind *, the main agenda of Pakistan *.","* * Muslim youth love All kinds of training will be given on the basis of jihad, lynching, lynching, dividing the Hindus on the basis of caste and religion.",oppression
2518,118,"Prem also told that now only three houses of Hindus are left in his village, Aterna Shamshabad.","Killing of cow dynasty, local people said that hundreds of cows are killed before sunrise in Mewat.","Their meat is then sold in one kg, half kg bags closed.",oppression
2519,119,"We do not understand because in this civil war we are not fighting, this war is being fought only by Muslims, we are only becoming victims.",We are watching the destruction of ourselves and our brothers by becoming a silent spectator.,If this situation does not change then the Hindu will be destroyed.,none
2520,120,Peace efforts took place under the aegis of the United Nations and as a result South Sudan was cut off and the new country was recognized as a Christian country.,Kosovo was an area within Serbia in which the mines were very high.,Muslims of Albanian origin were brought as laborers to work in these mines.,none
2521,121,After this the Shakas invaded India (who started the Saka Samvat from AD78).,"He made Meenagar on the banks of the Sindh River as his capital and ruled over a very large part of Maharashtra including Saurashtra, Avantika, Ujjayini, Gandhar, Sindh, Mathura of Gujarat region from 130 AD to 188 AD.",But there is no mention of rape in his state as well.,none
2522,122,"After a description of the necessity and benefits of wars, without which Muhammad's revolt remains incomplete, that is, his arrogance is not complete, Hasan Nizami stated that 'the brave men who want to fulfill the obligations of the Panth, the Sultan of the Sultans, the unbelievers And became available under the rule of Muhammad Ghori, the destroyer of multi-god worshipers; And Allah had sorted it from the kings and emperors of that time, 'because he had appointed himself for the destruction and destruction of the enemies of the Panth.","With the blood of their limits, India had filled the land so much that till the day of doom, the passengers would have to sit in a boat and cross that rich river of blood.","He conquered the fort he invaded, mixed it in the soil and incinerated the foundation and pillars of that (fort) under the feet of elephants; And cutting the whole world of idol worshipers with his fine edged sword, he set it in the fire of hell; Instead of temples, statues and figures, mosques were built.",oppression
2523,123,"After that, Hindus got married in the dark of night to escape the terror of Muslim invaders.","But while marrying in the night, it is kept in mind that even though dancing, singing, food, jayamal, etc.","happen at night, the rounds with the Vedic Mantras should take place only in the morning.",none
2524,124,"In this committee, there are millions of Chelia Muslim members from all over the country and all contribute themselves.","Then, after seeing a good place on the highway, they buy it at a very high price.",Then make an account of the sale and purchase of that hotel 👉  .. and hand over that hotel to a Chelia Muslim to run. . Chelia Muslims of the entire world gather in their village only in Muharram.,none
2525,125,"14. p. 379) (Quran 9:14) …… ………………………………………… It is clear from the above verses that they contain orders for jealousy, malice, hatred, fraud, fight quarrel, robbery and murder.","For these reasons, there are riots between Muslims and non-Muslims in the country and the world.",,culture
2526,126,🤺  * रणKiranadevi pulled the skewer from the waist and slammed Akbar down and put a foot on his chest and put the dagger 🤺  on the neck….,"..Naradham, you do 👹 🥺   not know I am the niece 🤨  of those Maharana Pratap .... * * In whose name your sleep blows away ....!",🤕 🥴   * * ोलBol What is your last wish ....?,none
2527,127,Immediately Virathu was declared communal and put in jail.,"With the punishment of years, many videos of Virathu ji had come on social media by then people heard and opened their eyes because there is so much charm and strength in speaking that the bandage over the eyes gets removed There are many Hindu monks and saints who speak like this in the country, but these people never speak on this subject.","Especially people who speak such speech in the terrorist go to terrorist camps, it is like hypnosis after which a Muslim becomes like a slave, you start hating every man who is not Muslim, that is why many people Will always say ""Once read the Quran, then look"" to all the Buddhists of Burma, Virathu ji explained and announced directly that if the country is to be saved and is to be saved itself, if you want to save your girls then exclude one Muslim.",none
2528,128,To whom Nehru of communist ideology had given strict instructions that whatever history should be included in the course.,"It should not be taught in that history that Muslim raiders broke Hindu temples, forcibly converted Hindus, committed many atrocities on them.","Maulana obeyed Nehru's advice, not only concealed the true history but also distorted it.",oppression
2529,129,"However, the government banned Nathuram's statement.","But Gopal Godse, the younger brother of Nathuram and co-plaintiff in the assassination of Gandhiji, won the Supreme Court after fighting a 60-year-long legal battle and Nathuram's statement was published.",Nathuram Godse presented 150 arguments in favor of Gandhi's murder before the court.,none
2530,130,Where they are 🇷  🇲  not happy ........!,* 🤷🏻♂ * 🇲 🇷   And till the end they fight 🇷  🇲  for it ....!,And speak 🇲 🇷   it only ........ * 🤫 * # स्लाIslamic_Jihad 🇷  🇲  * 🤺 * 🤔Now look at some 🇷  🇲  terrorist organizations 🇲 🇷   ........!,none
2531,131,"* * For the name, all these #girls used to dance in the bar but were also 👉 🙏   obliged to trade #hair_to keep the #customers coming to the bar happy.",* I agreed to give #Delhi's 👉  2 girl her family address and # phone_number on requesting too much #.,I had explained to them that I will try on my own so that your family accepts 👉  you and you leave this hell and stay back with your families in India.,none
2532,132,"One thing is certain that in the journalism world, which is called another community, it is always ready to stone you.","Wherever you are going, stones may fall on you.",Dalit procession was going on in Dewas.,none
